street	intersections	agencies	number_violations
Adee Ave	n/of bronx park|n/of wallace ave|w/of laconia av|w/of bronxwood a|s/of gunther av|n/of laconia ave|w/of bronxwood|e/of wallace ave|w/of olinville|s/of bronx park|e/of bronxwood|n/of eastchester|w/of wallace ave|e/of radcliff a|w/of boston rd|w/of olinville a|w/of bronx park|w/of grace ave|e/of olinville a|n/of mickle ave|e/of bronx park|n/of laconia av|w/of gunther av|e/of matthews a|n/of gunther av|w/of white plain|e/of pearsall a|n/of bronx blvd|w/of radcliff a|w/of eastcheste|s/of bronxwood|n/of barker ave|e/of radcliff av|w/of laconia a|e/of barker ave|s/of bouck ave|w/of white plai|e/of olinville|w/of bruner ave|n/of bouck ave|w/of wilson ave|n/of wilson ave|s/of eastchester|e/of throop ave|e/of cruger ave|e/of wickham av|s/of wickham av|s/of wickham ave|n/of radcliff a|w/of matthews av|s/of mickle ave|e/of white plai|w/of wallace av|e/of tenbroeck|w/of wickham av|w/of matthews a|w/of lurting av|e/of matthews av|w/of edson ave|e/of yates ave|w/of cruger ave|w/of barker ave|e/of eastcheste	T	1045
ADEE AVE	tenbroeck|c/o tenbroeck ave|pearsall ave|i/o pearsall ave|hering ave|bouck ave|throop ave|tenbrook ave|i/o tenbroeck ave|i/o throop ave|c/o matthews|hearing|i/o hering ave|yates ave|wallace ave	P	186
ADEE AVENUE		S|P	301
Adler Pl	e/of asch loop|n/of asch loop|s/of asch loop|a|w/of asch loop	T	249
Adrian Ave	s/of w 228th st|n/of terrace vie|s/of terrace vie|s/of w 225th st|w/of e 225th st	T	157
ADRIAN AVE	w 228 st|w 225 st|terrace ave|terrace view	P	46
ADRIAN AVENUE	west 225	P|S	58
Albany Cres	e/of w 233rd st|n/of bailey ave|s/of w 233rd s|e/of heath ave|s/of w 233rd st|n/of w 231st s|w/of e kingsbrid|n/of w 233rd st|n/of heath ave|s/of w 231st st|n/of w 231st st|s/of w 231st s|w/of heath ave|w/of kingsbridge|e/of w 231st st|w/of bailey ave|s/of heath ave|e/of bailey ave|w/of w 231st st|n/of e 231st st|s/of bailey ave|w/of w 232nd s	T	788
ALBANY CRES	kingsbridge	P	4
ALBANY CRESCENT		S|P	113
ALBANY CREST	kingsbridge	P	10
Alcott Pl	n/of aldrich st|w/of aldrich st|s/of asch loop|s/of aldrich st|n/of asch loop|w/of asch loop|bldg 17|e/of asch loop|s/of adler pl|s/of aldrich s|n/of aldrich s|e/of aldrich s	T	659
Alden Pl	e/of webster av|e/of park ave|e/of webster a|e/of webster ave|w/of park ave|n/of webster av|w/of webster av|s/of webster av	T	349
Aldrich St	n/of asch loop|e/of baychester|w/of asch loop|s/of asch loop|n/of baychester|s/of baychester	T	104
ALDRICH STREET		S	6
