street	intersections	agencies	number_violations
12th Ave	s/of w 131st st|n/of w 28th st|s/of w 134th st|n/of w 29th st|n/of w 52nd st|n/of st clair pl|s/of w 30th st|s/of w 29th st|s/of w 58th st|n/of w 125th st|s/of w 133rd st|n/of st clair|s/of w 33rd st|n/of w 135th st|w/of st clair p|s/of w 42nd st|s/of w 40th st|n/of w 36th st|n/of w 17th st|e/of 5th ave|n/of w 134th st|n/of w 50th st|s/of w 127th st|n/of w 133rd st|s/of w 52nd st|s/of w 26th st|s/of w 50th st|n/of w 39th st|e/of w 30th st|n/of st clair p|n/of w 135th s|s/of w 55th st|n/of w 55th st|e/of w 29th st|s/of w 41st st|s/of w 138th s|n/of w 57th st|n/of w 132nd st|s/of w 138th st|n/of w 24th st|s/of w 125th st|n/of w 34th st|n/of w 58th st|n/of w 42nd st|s/of w 27th st|s/of w 28th st|s/of w 39th st|n/of w 33rd st|n/of w 130th st|s/of w 56th st|s/of w 49th st|s/of w 125th s|n/of w 47th st|s/of w 126th st|n/of w 138th st|n/of w 40th st|n/of w 48th st|s/of w 48th st|s/of w 34th st|n/of w 26th st|n/of w 30th st|e/of w 52nd st|n/of w 41st st|n/of w 18th st|n/of w 19th st|n/of w 131st st|n/of w 49th st|s/of w 135th st|n/of w 38th st|n/of w 16th st	T	704
12TH AVE	w 135	P	10
12TH AVENUE		P	10
145th St Brg	s/of e 41st st|s/of e 34th st|n/of e 43rd st	T	17
155 ST	riverside drive|riverside dr	P	4
165 ST		P	4
1st Ave	s/of e 25th st|n/of e 14th st|s/of e 100th st|s/of e 93rd st|n/of e 70th st|s/of e 72nd st|s/of e 10th st|n/of e 35th st|n/of e 16th st|s/of e 26th st|n/of e 38th st|s/of e 107th st|s/of e 7th st|n/of e 92nd st|n/of e 114th st|s/of e 18th st|n/of e 102nd st|n/of e 121st st|sr|s/of e 84th st|s/of e 79th st|s/of e 76th st|n/of e 24th st|n/of e 101st st|n/of e 21st st|n/of e 25th st|n/of e 71st st|s/of e 65th st|n/of e 107th st|s/of e 101st st|n/of e 93rd st|s/of e 118th st|s/of e 92nd st|n/of e 58th st|n/of e 12th st|n/of e 81st st|s/of e 78th st|n/of e 120th st|n/of e 111th s|e/of e 4th st|s/of e 13th st|n/of e 91st st|n/of e 105th st|n/of e 106th st|s/of e 99th st|s/of e 9th st|s/of e 110th st|w/of e 62nd st|n/of e 59th st|n/of e 68th st|n/of e 76th st|s/of e 114th st|s/of e 105th st|s/of e 58th st|e/of e 55th st|n/of e 74th st|s/of w 111th st|loop|n/of e 98th st|n/of e 100th st|n/of e 117th st|w/of st marks p|s/of e 71st st|n/of e 112th st|s/of e 16th st|e/of e 78th st|n/of e 86th st|n/of e 115th st|s/of e 38th st|e/of e 84th st|s/of e 67th st|s/of e 62nd st|s/of e 42nd st|front of hydrant|n/of e 2nd st|n/of e 106th s|n/of e 110th st|e/of e 63rd st|n/of e 63rd st|s/of e 126th st|s/of e 55th st|n/of e 73rd st|s/of e 109th st|s/of w 81st st|w/of e 11th st|n/of e 100th s|w/of e 92nd st|e/of e 108th st|s/of e 112th st|w/of f d r dr|s/of e 22nd st|n/of paladino av|n/of st marks p|w/of e 94th st|n/of e 64th st|n/of e 17th st|s/of e 86th st|s/of e 15th st|n/of e 84th st|n/of e 36th st|n/of e 5th st|n/of e 69th st|s/of e 17th st|s/of e 68th st|s/of e 24th st|s/of e 50th st|n/of e 6th st|s/of e 111th st|n/of e 94th st|s/of e 95th st|s/of e 108th st|s/of e 1st st|s/of e 36th st|s/of e 94th st|n/of e 33rd st|n/of e 72nd st|s/of e 11th st|s/of e 97th st|n/of e 80th st|s/of e 5th st|service road|n/of e 29th st|s/of e 12th st|s/of e 30th st|n/of e 97th st|s/of e 53rd st|s/of e 2nd st|s/of e 102nd st|n/of e 15th st|s/of e 33rd st|n/of e 87th st|n/of e 95th st|s/of e 104th st|n/of e 104th st|n/of e 99th st|n/of e 66th st|n/of e 40th st|n/of e 34th st|n/of e 26th st|s/of e 85th st|n/of e 108th st|n/of e 10th st|n/of e 27th st|n/of paladino|n/of e 13th st|n/of e 67th st|n/of e 65th st|s/of st marks p|s/of e 74th st|s/of e 122nd st|n/of e 102nd s|n/of e 11th st|n/of e 20th st|s/of e 28th st|s/of e 34th st|s/of e 57th st|n/of e 118th st|s/of e 14th st|n/of e 120th s|n/of extra pl|n/of e 19th st|service rd|n/of w 28th st|n/of e 78th st|w/of e 5th st|w/of e 7th st|e/of e 13th st|w/of ludlow st|s/of e 61st st|s/of e 20th st|s/of e 98th st|s/of st marks pl|s/of e 69th st|s/of e 117th st|s/of e 49th st|n/of e 125th st|s/of e 3rd st|s/of e 52nd st|s/of e 104th s|s/of e 110th s|n/of w 94th st|n/of w 180th st|w/of little wes|s/of e 19th st|york ave|4|n/of w 75th st|s/of w 62nd st|n/of e 46th st|e/of e 81st st|e/of e 107th st|s/of e 111th s|e 60th st|n/of e 103rd st|s/of e 115th st|s/of e 81st st|n/of e 79th st|s/of e 83rd st|s/of e 21st st|s/of e 66th st|n/of e 37th st|n/of e 122nd st|s/of e 106th st|s/of e 103rd st|s/of e 77th st|s/of e 51st st|s/of e 96th st|n/of e 96th st|n/of e 85th st|s/of e 90th st|s/of e 91st st|n/of e 61st st|s/of paladino a|s/of paladino|s/of e 80th st|n/of e 30th st|s/of e 82nd st|s/of e 4th st|s/of e 6th st|s/of e 29th st|n/of e 113th st|n/of w 40th st|n/of e 51st st|s/of e 8th st|n/of e 53rd st|s/of e 120th st|s/of e 89th st|e/of 2nd ave|s/of e 39th st|n/of e 39th st|s/of e 37th st|s/of e houston|n/of e 28th st|e/of avenue c|n/of e 77th st|n/of e 1st st|n/of e 18th st|s/of e 88th st|s/of e 119th st|s/of e 73rd st|n/of e 89th st|n/of e 111th st|n/of e 4th st|n/of e 9th st|n/of e 90th st|s/of e 121st st|w/of e 65th st|e/of e 93rd st|s/of e 23rd st|n/of e 22nd st|w/of e 81st st|n/of e 88th st|s/of e 70th st|s/of e 27th st|n/of e 83rd st|n/of e 75th st|w/of e 38th st|n/of e houston|n/of e 3rd st|n/of e 7th st|e/of e 5th st|n/of e 116th st|s/of e 47th st|w/of e 84th st|e/of e 85th st|n/of e 23rd st|s/of e 63rd st|s/of e 75th st|lower level|on service road|s/of e 87th st|safety zone|s/of e 100th s|s/of w 36th st|n/of w 107th st|e/of e 106th st|n/of st marks pl|s/of w 25th st|w/of e 93rd st|s/of e 105th s|n/of e 109th st|s/of e 106th s|w/of e 3rd st|w/of e 74th st|w/of e 80th st|n/of e 82nd st|s/of e 102nd s|s/of e 64th st|n/of e 62nd st|sercice road|w/of e 27th st|s/of e 56th st|main road|n/of e 32nd st|s/of e 54th st|turning lane|n/of e 110th s	T	41163
1ST AVE	er lot	P|T	131
1ST AVE LOOP		S	9
1ST AVENUE	metropolitan hospita|e 47	P	52
