street	intersections	agencies	number_violations
Caroline St	n/of cary ave|w/of davis ave|s/of cary ave|s/of castleton	T	58
Carpenter Ave	w/of slayton ave	T	33
Carreau Ave		T	5
Carroll Pl	w/of nicholas|n/of st peters p|w/of st peters|e/of westervelt|e/of st peters p|s/of westervel|e/of westervel|s/of st peters|e/of st peters|n/of st peters|w/of st peters p|w/of nicholas s|e/of st pauls a|s/of st peters p|s/of westervelt|e/of nicholas|n/of nicholas s	T	335
Carteret St		T	56
Cary Ave	e/of bement av|s/of bement ave|w/of caroline s|e/of broadway|w/of broadway|e/of elizabeth s	T	299
CARY AVE		P	4
Cascade St		T	11
Case Ave	n/of melville st|s/of keating st|w/of melville s|w/of melville st|e/of keating st|n/of melville s|e/of norman pl|e/of melville|e/of melville st|n/of keating st	T	45
Cassidy Pl	w/of clinton a|n/of clinton ave|e/of lafayette a|s/of clinton ave|w/of lafayette|e/of clinton av|n/of clinton a|s/of lafayette|e/of lafayette|e/of tysen st|w/of tysen st|s/of clinton av|n/of tysen st	T	163
CASSIDY PL	lafayette ave	P	4
Castleton Ave	e/of heberton|w/of caroline s|n/of oxford pl|e/of harbor view|n/of jersey st|w/of bard ave|n/of haven espl|s/of harbor vie|n/of alaska st|s/of park ave|w/of n burgher|s/of treadwell a|s/of cebra ave|w/of hoyt ave|e/of faber st|s/of jersey st|e/of port richm|e/of davis ave|e/of harbor vie|w/of n randall|w/of treadwell a|w/of park ave|w/of port richm|e/of treadwell|e/of cebra ave|e/of caroline st|e/of hoyt ave|e/of jersey st|w/of davis ave|w/of baker pl|e/of sharpe av|n/of cebra ave|e/of park ave|w/of broadway|w/of oxford pl|n/of park ave|w/of haven espl|e/of pelton ave|e/of bodine st|w/of faber st	T	2590
CASTLETON AVE		P	27
CASTLETON AVENUE		P|S	8
Castleton Ct		T	9
Castor Pl	e/of huguenot|w/of anaconda s	T	30
Caswell Ave	e/of livermore|w/of tremont av|e/of canterbury|e/of woolley av|w/of orinoco p|s/of canterbury|e/of tremont av|e/of stewart av	T	66
Caswell Ln	w/of elson st|s/of elson st|e/of elson st	T	27
Catherine Ct	e/of jewett ave|w/of jewett ave|e/of simonson	T	12
Catherine St	w/of lexington|e/of lagrange p|s/of decker av	T	108
Catlin Ave		T	15
Cattaraugus St	w/of little clo	T	20
Cayuga Ave	s/of tioga st|w/of oswego st|w/of schoharie s	T	41
Cebra Ave	e/of dyson st|s/of chester pl|n/of victory bl|e/of chester pl|w/of oxford pl|s/of rosewood p|e/of victory bl|e/of castleton|w/of victory bl|w/of rosedale a|n/of rosewood p|e/of rosewood p|w/of chester pl|s/of victory bl|s/of rosewood pl|w/of victory b	T	87
Cedar Ave	e/of sand ln|e/of conger st|e/of arthur ave|e/of broad st|s/of ocean ave|e/of n railroad|w/of railroad a|s/of arthur ave	T	79
CEDAR AVE		P	22
Cedar Grove Ave	e/of waterside|w/of new dorp l|w/of new dorp ln	T	14
Cedar St	w/of hudson st|s/of boyd st|e/of broad st|e/of hudson st|n/of broad st|w/of broad st	T	79
Cedar Ter		T	61
Cedarview Ave	w/of n railroad|n/of n railroad|s/of richmond av|e/of n railroad	T	72
Cedarwood Ct	e/of yale st|w/of yale st|n/of yale st	T	28
Celtic Pl	n/of winham ave|n/of winham av|w/of winham ave|s/of weed ave	T	21
Center Pl		T	16
CENTER PLACE		S	8
Center St		T	57
Central Ave	w/of slosson ter|s/of slosson t|s/of slosson a|s/of slosson ter|n/of bay st|n/of victory bl|s/of hyatt st|s/of slosson te|e/of hyatt st|n/of hyatt st|n/of victory b|n/of slosson te|n/of slosson ter|w/of bay st|s/of bay st|w/of hyatt st	T	1450
CENTRAL AVE		P	8
Champlain Ave	s/of platt st|n/of platt st	T	48
CHANDLER AVE		P	5
Chandler Ave	e/of jewett ave	T	46
Chapin Ave		T	9
Chappell St	w/of henderson a|s/of henderson|e/of wayne st|w/of henderson|n/of henderson|s/of wayne st|n/of alaska st|n/of wayne st	T	39
Charles Ave	w/of port richm|w/of port richmo|e/of treadwell|e/of sharpe av|n/of st josephs|s/of castleton a|e/of st josephs|w/of nicholas av|s/of nicholas a|w/of st josephs|e/of crittenden|w/of nicholas a|w/of nicholas|e/of st joseph|e/of nicholas a|e/of nicholas av|w/of st joseph|s/of st josephs	T	175
CHARLES AVE		P	5
Charleston Ave	s/of hickory ct|e/of hickory ct	T	84
Chatham St		T	8
Chelsea Ave	e/of amboy rd	T	17
Chelsea Rd		T	15
Chelsea St	e/of amboy rd|s/of amboy rd|w/of amboy rd	T	49
Cherry Pl	s/of gansevoort|w/of gansevoort	T	12
Cherrywood Ct	e/of sandalwoo	T	30
Cheryl Ave		T	15
Chesebrough St	w/of petrus ave	T	15
Cheshire Pl		T	23
Chester Ave	e/of irvington	T	12
Chester Pl	s/of cebra ave|n/of clark ln	T	32
Chesterton Ave		T	62
Chestnut Ave	w/of anderson a|e/of tompkins|w/of bay st|w/of tompkins av	T	167
Chestnut Cir		T	5
Chestnut St	e/of van duzer|n/of van duzer|e/of van duzer s	T	7
Cheves Ave	s/of watchogue	T	5
Chicago Ave	e/of columbia av|e/of columbia|e/of cleveland|n/of columbia a|s/of cleveland|s/of columbia a	T	25
Chisholm St	w/of eylandt st|n/of eylandt s|n/of eylandt st|e/of akron st|s/of amboy rd|s/of eylandt s|e/of eylandt s|e/of amboy rd|e/of eylandt st|s/of eylandt st|w/of luten ave|n/of amboy rd|w/of eylandt s|w/of amboy rd	T	96
CHRISTOPHER LANE	crotona plc|croton pk|akron st|croton pl	P	6
Christopher lane & A	kron st|kron	S	15
Christopher lane & C	roton pl	S	11
Christopher Ln	w/of richmond a|s/of richmond a|e/of richmond a|s/of akron st|s/of genesee av|s/of yona ave|s/of croton ave|n/of akron st|w/of akron st|e/of yona ave|n/of yona ave|w/of yona ave|e/of akron st|e/of croton ave	T	93
CHRISTOPHER LN	croton pl|akron st	P	13
Christopher St	s/of grandview a|w/of mersereau|e/of grandview|e/of akron st|s/of andros ave|e/of mersereau|s/of akron st|s/of mersereau a|n/of mersereau	T	143
CHRISTOPHER ST	mersereau ave	P	5
Church Ave	s/of victory blv|e/of park ave|w/of victory bl	T	10
Church St	e/of park ave|e/of port richm|n/of park ave|w/of port richm	T	26
Churchill Ave		T	39
City Blvd	s/of forest ave|e/of forest ave|e/of crosshill|n/of crosshill|s/of crosshill s|e/of parsons pl|n/of parsons pl|n/of forest av	T	43
Clark Ln	w/of chester pl|s/of chester pl	T	14
Clark Pl	w/of eldridge a|w/of eldridge av	T	20
Claudia Ct		T	6
Clawson St	n/of bancroft a|e/of bancroft a|e/of new dorp l|s/of guyon ave|e/of allison av|e/of bache ave|s/of greeley av|s/of bryant ave|s/of new dorp ln|w/of tysens ln|e/of bryant ave|w/of allison ave|n/of otis ave|w/of new dorp l|w/of coddington|e/of coddington|s/of new dorp l|s/of jacques av|w/of new dorp ln|n/of new dorp l|w/of jacques av|w/of new dorp|w/of princeton a|s/of rose ave|w/of jacques ave|n/of prescott a|w/of guyon ave|w/of beach ave|e/of jacques ave|e/of jacques av|w/of bache ave|e/of new dorp ln|n/of new dorp ln|w/of otis ave|s/of fremont a|s/of bancroft av|s/of prescott a	T	712
Clay Pit Rd		T	73
Clearmont Ave	s/of manhattan|e/of finlay st|e/of connecticu|w/of manhattan|e/of carteret|e/of rockaway|n/of manhattan s|s/of manhattan s|e/of carteret s	T	35
Clermont Ave	s/of carteret|s/of rockaway s|s/of yetman ave|w/of manhattan|w/of yetman ave|w/of swinnerton|w/of finlay st	T	22
CLERMONT AVE		P	6
Clermont Pl		T	10
Cletus St		T	8
Cleveland Ave	s/of richmond t|n/of hylan blv|e/of fingerboar|n/of hylan blvd|s/of hylan blvd|e/of locust pl	T	108
Cleveland Pl	w/of fingerboa|w/of chicago a|n/of landis av|e/of fingerboa	T	28
CLEVELAND PLACE		P	4
Cleveland St		T	21
Cliff St	e/of bay st|s/of cliff ct|w/of bay st	T	80
Cliffside Ave	w/of targee st|e/of targee st	T	27
Clifton Ave	w/of edgewater|n/of rockwell a|n/of tompkins|e/of tompkins av|n/of tompkins a|w/of anderson a|n/of henderson a|e/of vermont av|w/of tompkins av|w/of vaughan st|s/of bay st|w/of bay st|s/of vermont av|e/of bay st|w/of vermont ave|n/of tompkins av|e/of tompkins a|w/of fox hill t|n/of edgewater|w/of vermont av|e/of richmond a	T	182
CLIFTON AVE		P	8
CLIFTON AVENUE		P	4
Clifton St	e/of richmond a|w/of richmond|w/of richmond a|w/of victory bl	T	29
Clinton Ave	w/of richmond t|w/of van duzer s|e/of henderson|n/of cassidy pl|e/of st pauls|s/of henderson|s/of richmond t|w/of henderson|n/of prospect a|w/of richmond te	T	130
CLINTON AVE		P	10
Clinton B Fiske Ave	s/of leonard ave	T	31
Clinton Pl	s/of port richm|e/of port richmo|w/of port richm|e/of port richm|n/of heberton|e/of nicholas a|w/of heberton a|e/of nicholas av|w/of treadwell|n/of heberton a|e/of treadwell	T	82
CLINTON PLACE		P	4
Clinton St	e/of st pauls|e/of st pauls a|w/of van duzer s|w/of bay st|w/of brewster st	T	46
Cloister Pl	n/of n railroad|e/of 3rd st|n/of 3rd st|s/of richmond rd|s/of 3rd st	T	26
Clove Lake Pl	w/of elizabeth s|n/of allen ct|w/of elizabeth|w/of clove rd|w/of broadway|n/of forest ave|e/of broadway|s/of broadway|n/of broadway	T	180
CLOVE RD	martling ave	P	76
Clove Rd	w/of bement ave|n/of allen ct|w/of hylan blvd|e/of cornell a|s/of clove way|e/of britton av|w/of clove way|s/of ludwig st|w/of weser ave|s/of richmond t|n/of forest ave|s/of allen ct|weser av|n/of cheshire p|w/of richmond t|n/of richmond t	T	270
CLOVE ROAD		S|P	24
Cloverdale Ave		T	5
Clovis Rd	n/of clove way	T	7
Clyde Pl	e/of prospect a	T	6
Coale Ave	w/of s greenle|e/of jewett ave|w/of jewett ave|n/of jewett ave|s/of jewett ave|s/of s greenle|s/of westcott bl|e/of jewett av|e/of westcott bl|s/of s greenleaf	T	247
CODDINGTON AVE		P	5
Coddington Ave	w/of hylan blvd|s/of clawson s	T	119
Cody Pl	n/of platt st|e/of arthur ki|n/of pratt ct|n/of arthur ki|s/of arthur ki|e/of lombard ct|s/of pratt ct|e/of pratt ct|s/of country ln|s/of arthur kil|n/of lombard c|w/of lombard ct|w/of arthur ki|e/of arthur kil	T	83
COLFAX AVE		P	14
Colfax Ave	n/of s railroad|n/of clawson st|s/of s railroad|s/of edison st|n/of richmond r	T	103
Colgate Pl	w/of princeton a|e/of cannon blv|w/of princeton|e/of princeton	T	5
College Ave	s/of willowbroo|e/of willowbroo	T	73
COLLEGE AVE		P	5
COLLFIELD		P	4
Collfield Ave	n/of n gannon a|w/of willowbroo	T	124
Colon Ave	w/of gurley ave	T	58
Colon St		T	5
Colonial Ave	w/of field st|s/of norwich st|w/of pilcher st|s/of steers st|s/of pilcher s|s/of pilcher st|n/of norwich st|n/of field st|e/of pilcher st|n/of pilcher st	T	20
Colony Ave	s/of midland av|e/of lincoln av|e/of greeley ave|w/of midland av	T	51
Colorado St	w/of college av|n/of college av	T	5
Colton St	s/of hylan blv|s/of hylan blvd|s/of st john av|e/of st johns|n/of st johns|s/of st johns|s/of maryland|n/of maryland a	T	63
Columbia Ave	n/of fingerboar|w/of fingerboa	T	33
Columbus Ave	w/of targee st|e/of targee st|w/of w fingerbo|n/of richmond r|e/of richmond r	T	96
Columbus Pl	e/of muller ave|e/of glascoe a|w/of glascoe av	T	10
Comely St	w/of kingdom a|e/of huguenot|e/of page ave	T	5
Commerce St	w/of arlene st	T	55
Comstock Ave		T	54
Concord Pl	e/of starbuck s|e/of richmond r	T	5
Confederation Pl	e/of union ave|w/of union ave	T	25
Congress St	e/of bay st|w/of bay st	T	21
Connecticut St		T	38
Connor Ave	e/of pinewood a|n/of victory bl	T	24
Conrad Ave	s/of ashworth|w/of ainsworth|e/of ainsworth|s/of ashworth a|w/of anderson|e/of field st|e/of greenway a|n/of greenway a	T	49
Constant Ave	w/of manor rd|e/of jewett ave|e/of manor rd	T	48
Continental Pl	n/of union ave|e/of lockman ave|e/of union ave|e/of gridley av|e/of maple pky|e/of lockman av|s/of maple pky|n/of lockman ave|s/of mersereau|w/of maple ave	T	170
CONTINENTAL PL		P	8
Conyingham Ave		T	21
Cooke St	s/of comstock av	T	19
Cooper Ave		T	18
Cooper Pl	s/of case ave	T	7
Cooper Ter	n/of rockland av|e/of rockland av|s/of ashworth a	T	37
Copley St		T	35
Copperleaf Ter		T	4
Corbin Ave	n/of dewey ave|n/of redwood ave|n/of country w|s/of arthur ki|s/of country w|w/of redwood ave|w/of arthur kil|w/of redwood av|n/of nahant st|n/of arthur kill|s/of arthur kil|s/of country wo	T	92
Cordelia Ave	s/of latourette|e/of latourette	T	24
Cornelia Ave	w/of clove rd|w/of remsen st|s/of remsen st|n/of remsen st	T	9
Cornelia St	s/of remsen st|n/of remsen st|w/of wilson st|e/of minna st|e/of remsen st|s/of minna st	T	16
Cornell Ave	w/of clove rd|s/of clove rd|e/of clove rd	T	44
Cornell Pl		T	9
Cornish St	e/of cleveland|s/of whitman av	T	33
Corona Ave	s/of croft ct	T	64
Correll Ave	e/of arden ave|e/of mallow st|s/of winant ave|w/of gervil st|s/of mallow st|e/of winant ave|w/of mallow st|s/of bombay st|w/of maguire av|n/of winant ave	T	189
Corson Ave	e/of westervelt|w/of daniel low|e/of jersey st|w/of westervelt|e/of westervel|e/of pine st|n/of pine st|w/of westervel	T	351
CORSON AVE		P	13
Cortelyou Ave	e/of lamoka ave|s/of kirby ct|n/of wilson ave	T	97
Cortelyou Pl	w/of lafayette|e/of kirby ct|e/of lafayette a|s/of lafayette|e/of lafayette|w/of lafayette a|n/of lafayette|n/of lafayette a	T	78
CORTLANDT ST		P	4
Cortlandt St	s/of post ave|n/of post ave|w/of post ave	T	84
Cottage Ave	e/of hillside t	T	20
Cottage Pl	s/of bennett st	T	21
COTTER AVE		P	26
Cotter Ave		T	46
Cottonwood Ct		T	6
Coughlan Ave		T	8
Country Woods Ln	w/of tanglewood	T	21
Coursen Ct	n/of warren st	T	7
Coursen Pl		T	33
Court St	e/of van duzer	T	40
Coverly St	e/of tysens ln|n/of tysens ln|w/of belfast av|s/of mobile av	T	9
Covington Cir	w/of powell st	T	51
Cowen Pl	e/of grandview a|w/of post ln|e/of grandview|s/of grandview	T	11
Crabtree Ave	e/of turner st|s/of harrison a|n/of bloomingd|e/of bloomingda|w/of bloomingda|e/of harrison a|n/of other-see|s/of other-see|e/of bloomingd|s/of harris ln|w/of turner st|w/of bloomingd|n/of harris ln|s/of bloomingda|w/of harrison a|w/of harris ln	T	107
Crafton Ave	e/of purdy ave	T	63
Craig Ave	s/of wood ave|s/of hylan blv|e/of main st|e/of lee ave	T	100
CRAIG AVE		P	15
CRAIG AVENUE		S|P	5
Cranford Ave	w/of tysens ln|s/of tysens ln	T	20
Cranford St		T	11
Crescent Ave	n/of bismark av|s/of daniel low|w/of daniel low|e/of daniel low|w/of westervelt	T	91
CRESTON PL		P	5
Crist St	s/of grasmere a|e/of grasmere a	T	4
Crittenden Pl	s/of hatfield pl|s/of charles av|n/of charles ave	T	41
Croak Ave	e/of manor rd|w/of manor rd	T	26
Croft Ct		T	6
CROFT CT		P	4
Croft Pl		T	21
Cromer St	e/of miles ave	T	9
Cromwell Ave	e/of laconia ave|e/of mason ave|s/of n railroad|e/of hylan blvd|s/of hylan blvd|s/of jefferson|n/of hylan blvd|n/of mason ave|n/of jefferson|n/of n railroad	T	233
CROMWELL AVE		P	7
Cross St	e/of bay st|n/of bay st	T	24
Crossfield Ave	s/of berry ave|n/of ladd ave|e/of berry ave|n/of berry ave|s/of token st|e/of token st|n/of token st|n/of watkins av|w/of ladd ave	T	31
Crosshill St	w/of city blvd|e/of city blvd	T	7
CROTON PL	christopher ln	P	7
Crowell Ave		T	40
Crown Ave	w/of evan pl|e/of nippon ave|s/of carlton bl|s/of evan pl|s/of nippon ave	T	153
CROWN AVE		P	4
Crystal Ave	n/of galloway a|n/of auburn ave|n/of riegelman|s/of caswell av	T	50
Cuba Ave	s/of new dorp l|e/of new dorp l|w/of new dorp l	T	87
Cubberly Pl		T	4
Cunard Pl	e/of cedar ter	T	7
Currie Ave		T	11
Curtis Ave	s/of westervel|n/of westervelt|s/of westervelt|e/of manor rd	T	40
Curtis Pl	n/of hamilton av|w/of hamilton av|w/of westervelt|e/of westervelt|e/of hamilton av|s/of hamilton av|s/of westervelt|w/of westervel	T	56
Cypress Ave	s/of victory bl	T	6
CYPRESS LOOP		P	4
DAFFODIL COURT		P	10
DAFFODIL CT		P	12
Daffodil Ct		T	6
Dahlia St	s/of shift pl	T	44
Dale Ave	w/of amboy rd|n/of amboy rd	T	36
Daleham St	e/of greaves av|e/of corbin ave	T	28
Dalemere Rd		T	8
Dalton Ave	w/of tysens ln	T	32
Dana St	w/of metropolita|s/of metropolita|w/of metropolit	T	9
Daniel Low Ter	e/of corson ave|w/of corson ave|w/of fort pl|w/of hamilton av|e/of fort pl|s/of crescent a|e/of hamilton av|n/of corson ave|s/of corson ave|n/of belmont pl|n/of fort hill c|n/of fort pl|s/of hamilton av|s/of fort pl|n/of fort hill	T	311
DANIEL LOW TERRACE		P	5
Darcey Ave	e/of canterbury	T	37
Darlington Ave	s/of vernon ave|w/of vernon ave|n/of huguenot a|n/of vernon ave	T	106
David Pl	e/of pulaski ave|w/of morningsta|n/of pulaski ave|w/of granite a	T	14
David St	s/of forest ave	T	11
Davidson St	s/of grandview|s/of davidson c|n/of andros av|s/of andros ave|n/of mersereau|w/of andros ave|e/of mersereau|e/of davidson c|s/of mersereau|w/of mersereau|e/of andros ave|w/of andros av|w/of davidson c	T	103
DAVIDSON ST	c/o mersereau st|mersereau	P	15
Davis Ave	s/of delafield|w/of castleton|s/of castleton a|n/of castleton|w/of forest ave|e/of forest ave|n/of delafield|s/of forest ave|s/of castleton|n/of forest ave|n/of castleton a|e/of dekay st|s/of delafield p|n/of delafield p|n/of arlington c|s/of henderson a|n/of dekay st|e/of pelton ave|e/of castleton|w/of delafield|s/of harvest av|s/of morrison av	T	536
DAVIS AVE		P	7
DAVIS AVENUE		P	4
DAVIS COURT		P|S	4
Davis Ct		T	6
Dawson Cir	w/of arlene st	T	49
Dawson Ct	e/of arlene st	T	9
Dawson St	e/of martin av|e/of ardmore av|n/of martin ave|w/of ardmore av|e/of martin ave	T	13
De Hart Ave	e/of richmond t	T	161
De Ruyter Pl	w/of van pelt av|s/of maple pky|e/of maple ave	T	21
Deal Ct	n/of dayna dr|n/of mason ave|e/of alberta av|w/of alberta av	T	15
Debbie St		T	44
Decatur Ave		T	9
Decker Ave	e/of palmer av|e/of palmer ave|n/of palmer ave	T	123
Deems Ave	s/of the blvd	T	5
Degroot Pl	w/of bodine st	T	43
DEHART AVE		P	6
Deisius St	s/of luten ave|e/of stecher st|e/of luten ave|w/of kingdom ave|w/of tuckahoe|n/of luten ave|w/of huguenot a|n/of androvette|w/of luten ave|s/of androvette|w/of androvette|e/of huguenot a|w/of tuckahoe a|w/of kingdom a|e/of prall ave	T	72
Dekalb St	e/of oder ave|e/of targee st	T	8
Dekay St	e/of bard ave|w/of n mada ave|e/of n mada ave	T	11
Delafield Ave	w/of broadway|s/of bement ave|w/of bement ave|e/of elizabeth|w/of kissel ave|e/of broadway|w/of raymond pl|w/of n mada ave|e/of kissel ave	T	222
DELAFIELD AVE		P	18
Delafield Pl	e/of bard ave|w/of davis ave|e/of davis ave	T	32
Delaware Ave	s/of laconia ave|w/of laconia ave|s/of laconia av|s/of mason ave|s/of hylan blvd|w/of laconia av|n/of laconia av|e/of laconia av|n/of mason ave|e/of hylan blvd|n/of hylan blvd|s/of richmond rd|n/of laconia ave|s/of richmond r|e/of richmond r|w/of hylan blvd|s/of hylan blv|e/of laconia ave|w/of mason ave|s/of n railroa	T	252
Delaware St	e/of richmond r	T	22
Delford St	s/of roff st|e/of irving pl|n/of roff st|e/of roff st|w/of roff st|s/of irving pl	T	15
Delmar Ave	w/of woodrow rd	T	23
Delmore St	e/of woolley av|e/of crystal ave|e/of crystal av	T	18
Demopolis Ave		T	37
Demorest Ave		T	25
Denker Pl	w/of mcveigh av|w/of mcveigh ave	T	36
Dennis Torricelli Sr	n/of school rd	T	7
Dent Rd		T	9
Denton Pl	e/of hawthorne	T	5
Depew Pl		T	4
Deppe Pl	e/of richmond a	T	56
Derby Ct	n/of haughwout	T	17
Deserre Ave	n/of sheldon a|n/of sheldon av|w/of sinclair a|s/of sinclair|e/of sinclair a|s/of sinclair a|s/of sheldon av	T	33
Detroit Ave		T	21
Devens St	e/of willow rd|w/of levit ave|s/of willowbroo|w/of willowbroo	T	47
Devon Loop	n/of elmwood par|s/of elmwood pa|w/of elmwood par	T	59
Devon Pl		T	4
Dewey Ave	w/of miles ave|w/of graves st	T	30
Dewhurst St	w/of fields ave	T	13
Diaz Pl	n/of weed ave|s/of weed ave	T	17
Diaz St		T	7
Dickie Ave	n/of college a|w/of north ave	T	36
Dierauf St		T	11
Dina Ct	e/of blythe pl	T	25
Dinsmore St	w/of victory bl|s/of victory bl	T	11
Disosway Pl	w/of clove rd|e/of raymond pl|w/of raymond pl|s/of clove rd	T	34
Divine St		T	5
Dix Pl		T	11
Dixon Ave	n/of lake ave|e/of lake ave|e/of trantor pl|e/of simonson a	T	104
Doane Ave	n/of leverett	T	31
DOANE AVE		P	5
Dogwood Dr	s/of yucca dr	T	104
Dogwood Ln		T	4
Domain St	s/of comstock a	T	26
Donald Pl		T	4
Dongan Ave	e/of degroot pl|w/of beechwood p|e/of manor rd|e/of castleton	T	95
DONGAN AVE		P	10
Dongan Hills Ave	s/of n railroad|s/of patterson|e/of richmond r|w/of patterson|s/of richmond r|e/of hylan blvd|n/of richmond r|s/of zoe st|s/of richmond	T	375
DONGAN HILLS AVE		P	11
Dongan St	n/of cary ave|s/of richmond|n/of castleton|n/of degroot pl|s/of castleton|w/of degroot pl|e/of castleton|s/of richmond t|w/of richmond t	T	95
Donley Ave	w/of st johns a	T	36
Donna Ct	w/of elmwood pa|s/of elmwood par	T	15
Dorothea Pl	e/of dale ave	T	20
Dorothy St		T	20
Dorval Ave		T	15
Dorval Pl	w/of annadale r|w/of sunfield a	T	4
Doty Ave	e/of robin rd	T	20
DOTY AVE		P	6
Dover Green		T	61
Downes Ave		T	19
Downey Pl		T	28
Drake Ave		T	40
Draper Pl	s/of travis ave|e/of knapp st	T	23
Dreyer Ave	w/of willowbroo|n/of willowbroo|w/of willowbro	T	84
Driggs St		T	15
Driprock St	n/of post ave|w/of post ave|e/of post ave|s/of post ave	T	12
Drumgoole Rd	n/of genesee a|e/of jefferson b|n/of walcott av|s/of notus ave|e/of albee ave|e/of jefferson|e/of ionia ave	T	30
DRUMGOOLE RD EAST	east of wolcott ave|geneso ave|wolcott ave|notus ave|genesse ave|wolcott av	P	11
DRUMGOOLE ROAD EAST		S	6
Drury Ave	e/of ocean ave|s/of ocean ave|w/of ocean ave|e/of father ca	T	12
Drysdale St	n/of forest hill|s/of jasper st	T	13
Dublin Pl		T	4
Dubois Ave	n/of post ave|e/of post ave|w/of post ave|e/of egbert ave|s/of post ave|w/of egbert ave	T	175
DUBOIS AVE		P	9
Dudley Ave	e/of grand ave|e/of clove rd	T	33
Duer Ave	w/of mcclean av|e/of forest ave	T	5
Duer Ln		T	16
Duke Pl		T	9
DUMONT AVE		P	5
Dumont Ave	n/of hylan blvd	T	6
Dunbar St		T	33
Duncan Rd		T	24
Duncan St		T	5
Dunham St	s/of outerbrid	T	6
Durant Ave	s/of kelvin ave|s/of justin ave|e/of bartow st|e/of keegans l|e/of redgrave a|e/of cleveland|s/of kelvin av|n/of redgrave a|w/of justin ave|e/of kelvin ave|w/of bay ter|w/of hillside t	T	101
Durgess St		T	35
Dutchess Ave		T	7
E Augusta Ave		T	17
E Brandis Ave	e/of armstrong a	T	26
E Broadway		T	43
E Buchanan St	w/of highview a	T	14
E Cheshire Pl	w/of victory bl|e/of victory bl	T	10
E Drumgoole Rd	w/of notus ave|s/of jefferson|s/of monterey a|s/of ionia ave|w/of albert ct|n/of huguenot a|n/of genesee av|n/of vernon ave|n/of wolcott av|s/of notus ave|w/of jefferson b	T	45
E Figurea Ave		T	39
E Macon Ave	e/of armstrong|s/of armstrong	T	19
E Raleigh Ave		T	11
E Reading Ave	e/of armstrong a	T	14
E Scranton Ave		T	16
E Stroud Ave	w/of abingdon a|w/of abingdon	T	59
E Tenafly Ave	s/of s railroad|e/of s railroad	T	5
E/S of CHRISTOPHER L	ane 150' w/o|ane 150' n/o akron s|ane 250' n/o akron s	S	5
E/S of CHRISTOPHER S	treet 50' e/o croton|treet 200' n/o akron|treet 100' e/o akron|treet 50' e/o yona a|treet 50' e/o akron|treet 5' n/o croton|treet 150' n/o akron|treet 200' e/o akron|treet 50' s/o yona a|treet 20' n/o akron|treet 150' e/o akron|treet 5' e/o croton	S	18
E/S of HUGUENOT AVEN	ue 100' n/o sussex a|ue 25' s/o raily cou|ue 50' s/o raily cou|ue 35' n/o raily cou	S	4
E/S of SHARROTTS ROA	d 25' w/o veterans r|d 30' s/o veterans r|d 50' s/o veterans r	S	4
E/S of VETERANS ROAD	east 800' s/o arthu|east 60' n/o wirt a|east 25' s/o woodro|east 100' n/o bloom|east 475' s/o arthu|east 1000' s/o arth|east 500' s/o arthu|west 200' s/o herve|east 30' n/o winant|west 500' s/o arthu|east 100' n/o lucil|west 25' e/o clay p	S	24
Eadie Pl	s/of franklin a	T	8
Eagan Ave		T	14
Earley Ave	n/of delmore s|w/of wade st|n/of wade st	T	6
Eaton Pl	e/of innis st|s/of innis st|e/of richmond a|s/of richmond|n/of innis st|w/of john st|e/of john st	T	61
EATON PLACE		P|S	17
Ebbitts Ave	s/of hylan blv|n/of hett ave|e/of titus ave|s/of hylan blvd|s/of mill rd	T	20
Ebbitts St	n/of weed ave|w/of hylan blvd|s/of hylan blv|e/of hylan blv|s/of roma ave|e/of roma ave|s/of hylan blvd|s/of mill rd	T	113
EBBITTS ST		P	5
EBEY LN	lisa ln	P	6
Ebey Ln	s/of lisa ln|w/of lisa ln|s/of myrna ln|e/of myrna ln	T	24
Ebony St		T	28
Echo Pl		T	35
ECHO PLACE		S	4
Eddy St	w/of victory b|e/of victory bl|s/of victory blv|n/of victory bl|e/of duncan rd|w/of victory bl|s/of victory bl|e/of victory b|s/of howard av|w/of bertha pl|s/of duncan rd|n/of victory blv|s/of victory b	T	101
Edgar Pl	w/of fiedler ave|w/of avon pl	T	7
Edgar Ter	e/of avon pl|s/of fiedler av|w/of avon pl	T	45
Edgegrove Ave	e/of albee ave|e/of belfield	T	142
Edgewater St	e/of hylan blvd|e/of willow ave|e/of front st|e/of bay st|s/of front st|n/of hylan blvd	T	38
Edgewood Rd	e/of lindenwood	T	6
Edinboro Rd		T	6
EDISON ST		P	5
Edison St	e/of fremont av|n/of fremont av|w/of fremont st|s/of fremont av|w/of bancroft a|w/of new dorp l|s/of fremont ave|w/of midland av|e/of new dorp l|e/of new dorp ln|w/of bancroft av|e/of bache ave|n/of new dorp ln	T	160
Edith Ave	e/of irvington|s/of huguenot a|w/of huguenot av|w/of huguenot a|n/of huguenot av	T	13
EDWARD CURRY	glen st|gulf ave|glen	P	7
EDWARD CURRY BLVD	glen st|gulf ave|f/o gulf ave|guld ave	P	16
Egbert Ave	e/of greenleaf|w/of mundy ave	T	110
Egbert Pl	n/of fingerboa	T	12
Egmont Pl	e/of hamilton av|s/of hamilton av	T	29
EL CAMINO LOOP		P	16
Elbe Ave	n/of clove rd|e/of clove rd|s/of steuben st|s/of manton pl	T	62
Eldridge Ave	s/of forest ave	T	42
Elias Pl		T	13
Elie Ct		T	11
