street	intersections	agencies	number_violations
102nd Ave	e/of 216th st|w/of 221st st|e/of 86th st|n/of 90th ave|s/of 217th st|w/of brisbin st|e/of 214th st|w/of 129th st|e/of 113th st|w/of hollis ave|w/of 88th st|w/of allendale s|e/of brisbin st|e/of 221st st|e/of 127th st|e/of 217th st|w/of 86th st|s/of springfiel|w/of 134th st|e/of 65th ave|w/of 135th st|w/of 217th pl|w/of 217th st|n/of remington s|w/of remington s|s/of 213th st|e/of springfiel|e/of 212th st|s/of nicolls av|w/of 215th st|e/of 134th st|w/of van wyck e|w/of nb van wyc|e/of 135th st|w/of 154th st|e/of remington|e/of 215th st|n/of 217th st|n/of 101st ave|w/of 191st st|w/of 89th st|w/of 84th st|e/of 213th st|e/of van wyck e|w/of 212th st|e/of remington s|e/of 88th st|e/of 84th st	T	651
102nd Rd	n/of 85th rd|e/of 84th st|e/of 81st st|e/of 91st st|w/of 129th st|e/of 86th st|w/of 86th st|e/of 64th rd|w/of 67th ave|w/of van wyck e	T	375
102nd St	s/of jamaica av|w/of 64th ave|s/of 40th rd|w/of 62nd dr|s/of 97th ave|n/of 64th ave|w/of 160th ave|w/of 41st ave|s/of 91st ave|w/of roosevelt a|s/of 92nd ave|n/of 62nd dr|n/of 37th ave|s/of corona ave|s/of atlantic a|n/of national st|e/of nicolls ave|n/of liberty ave|n/of 31st ave|s/of 63rd ave|n/of 85th rd|n/of 62nd rd|s/of nicolls ave|w/of 67th rd|n/of national s|n/of 93rd ave|s/of national st|s/of corona av|s/of 90th ave|w/of nicolls av|e/of nicolls av|n/of lewis ave|n/of 97th st|n/of alstyne a|e/of 64th rd|n/of 63rd ave|e/of jamaica ave|s/of alstyne ave|s/of 24th ave|n/of 97th ave|s/of lewis ave|s/of nicolls av|n/of 101st ave|s/of northern b|w/of 63rd rd|s/of 159th dr|s/of national s|n/of 39th ave|w/of 90th ave|n/of rockaway b|s/of 63rd dr|n/of martense av|n/of liberty av|w/of 64th rd|s/of 65th rd|s/of 94th ave|w/of 62nd rd|s/of atlantic av|n/of 47th ave|s/of alstyne av|e/of 62nd ave|s/of 160th ave|e/of national st|n/of atlantic a|w/of 65th rd|n/of 67th rd|s/of 64th rd|s/of northern bl|w/of 42nd ave|w/of rockaway b|w/of northern bl|s/of beach 102n|s/of jamaica ave|s/of rockaway|s/of 62nd ave|n/of 42nd ave|s/of 41st ave|n/of 32nd ave|e/of 67th rd|n/of 41st ave|e/of 67th ave|w/of 99th st|e/of 42nd ave|e/of 65th rd|n/of northern b|s/of 67th ave|w/of 63rd dr|n/of 63rd dr|w/of jamaica av|n/of 90th ave|n/of 92nd ave|s/of 35th ave|n/of 65th ave|s/of 66th ave|s/of 101st ave|w/of 66th ave|s/of 67th rd|s/of 34th ave|e/of 65th ave|w/of 24th ave|w/of 34th ave|w/of 65th ave|n/of 63rd rd|n/of 89th ave|n/of 65th rd|n/of alstyne av|n/of 24th ave|s/of 65th ave|n/of 95th ave|s/of 32nd ave|n/of corona ave|n/of martense a|n/of northern|n/of 67th ave|n/of 34th ave|n/of 103rd ave|s/of roosevelt|s/of 64th ave|n/of 66th rd|n/of northern bl|w/of national st|n/of radcliff av|n/of nicolls av|w/of 67th ave|n/of 35th ave|e/of 63rd dr|e/of 66th ave|n/of 88th ave|n/of 94th ave|n/of jamaica av|n/of rockaway bl|s/of larue ave|s/of 45th ave|s/of 85th ave|s/of 37th ave|e/of 66th rd|n/of alstyne ave|e/of 63rd rd|s/of 63rd rd|n/of 66th ave|s/of 62nd dr|s/of strong ave|s/of roosevelt a|s/of 66th rd|n/of christie av|n/of 43rd ave|e/of 64th ave|s/of 42nd ave|n/of nicolls ave|s/of liberty av|s/of 68th ave|n/of 44th ave|w/of 66th rd|s/of 31st ave|s/of 89th ave|n/of 91st ave|e/of 63rd ave|n/of 64th rd|n/of jamaica ave|s/of 95th ave|n/of 90th st|e/of 62nd dr|e/of national s|w/of corona ave|s/of 43rd ave|n/of 103rd st|n/of 46th ave|w/of 101st ave|s/of christie av|s/of 62nd rd|s/of 87th ave|s/of liberty ave|s/of 85th rd|w/of 85th ave|s/of 103rd ave|n/of shore fron|e/of 62nd rd|garage entrance on 6|n/of broadway|n/of 85th ave|s/of 88th ave|n/of 62nd ave|s/of ditmars bl|n/of radcliff a|s/of ditmars blv|w/of national s|w/of 63rd ave	T	7896
103 AVE	118 street|120 st c/o	P	122
103 AVENUE		P|S	10
103 DR		P	6
103 RD		P	18
103 ROAD		P	6
103 ST	66 ave|roosevelt ave|66 rd	P	228
103 STREET	roosevelt ave	S|P	222
103rd Ave	e/of 88th st|e/of 218th pl|e/of 121st st|w/of 113th st|e/of 98th st|w/of 90th st|w/of 129th st|e/of 126th st|n/of 65th ave|s/of 118th st|e/of 102nd st|w/of 121st st|w/of 105th st|n/of 37th ave|e/of 129th st|e/of 123rd st|w/of 100th st|n/of lefferts b|w/of 103rd st|w/of 120th st|w/of 97th st|e/of 86th st|w/of 98th st|e/of 107th st|w/of 96th st|e/of 111th st|e/of woodhaven|w/of 106th st|w/of 114th st|w/of 110th st|e/of 97th st|e/of rockaway b|w/of 136th st|n/of 129th st|e/of 103rd st|w/of 218th pl|w/of 124th st|e/of 114th st|w/of 130th st|w/of 131st st|e/of 118th st|e/of 131st st|w/of 125th st|e/of 104th st|w/of lefferts b|e/of 120th st|e/of lefferts b|w/of 132nd st|w/of 108th st|e/of 127th st|e/of lefferts bl|e/of 133rd st|e/of 130th st|w/of 118th st|e/of 92nd st|n/of 115th st|w/of 102nd st|w/of 133rd st|e/of 116th st|w/of 115th st|e/of 132nd st|w/of 126th st|e/of 117th st|w/of 86th st|w/of 116th st|w/of 104th st|w/of rockaway b|w/of 123rd st|w/of 99th st|e/of 124th st|e/of 99th st|w/of woodhaven|e/of 110th st|e/of farmers bl|w/of 218th st|n/of 116th st|e/of 91st st|w/of 91st st|s/of 103rd st|e/of beach 117th|w/of 107th st|e/of 88th ave|e/of 113th st	T	1593
103rd Dr	w/of 105th st|e/of 105th st	T	18
103rd Rd	s/of 53rd ave|e/of 173rd st|e/of 171st st|w/of 129th st|w/of 172nd st|w/of 171st st|w/of 177th st|w/of 105th st|e/of 130th st|e/of 105th st|s/of 171st st|s/of 177th st|e/of 177th st	T	181
103rd St	n/of 42nd ave|s/of 32nd ave|s/of rockaway b|n/of 101st ave|n/of 41st ave|s/of 35th ave|n/of roosevelt a|s/of 158th ave|w/of 37th ave|s/of 65th rd|s/of corona av|s/of 53rd ave|s/of plattwood|s/of alstyne ave|n/of 51st ave|s/of corona ave|e/of 67th rd|s/of 101st ave|n/of 52nd ave|w/of 34th ave|s/of rosita rd|s/of 141st st|n/of 37th ave|n/of plattwood a|s/of 34th ave|n/of 97th ave|n/of northern bl|e/of 41st ave|n/of alstyne ave|w/of 35th ave|s/of plattwood a|n/of 34th ave|ws 103 st 20' so 158|s/of 97th ave|s/of 39th ave|n/of national s|s/of 94th ave|n/of 158th ave|n/of 53rd ave|s/of 42nd ave|e/of northern b|n/of 66th ave|s/of 43rd ave|s/of 95th ave|s/of roosevelt|n/of 103rd ave|s/of centrevill|n/of plattwood|w/of rockaway b|s/of 66th ave|n/of roosevelt|s/of 41st ave|n/of 39th ave|s/of northern b|n/of 66th rd|s/of 37th ave|n/of 32nd ave|n/of martense av|n/of northern b|n/of 37th dr|s/of national s|s/of 31st ave|n/of 35th ave|n/of liberty av|s/of liberty av|s/of northern bl|s/of 103rd ave|e/of 66th ave|n/of liberty ave|s/of 67th ave|e/of 37th ave|e/of plattwood|n/of queens pla|s/of rockaway bl|n/of nicolls av|s/of 92nd ave|n/of 37th st|s/of larue ave|n/of christie av|n/of christie a|n/of 42nd pl|w/of 100th st|n/of rockaway bl|n/of martense a|w/of 41st ave|n/of 42nd st|e/of 34th ave|n/of 63rd dr	T	9146
103RD ST		P	21
103RD STREET		P	6
104 AVE	c/o merrick blvd|i/o 207 st|217 place	P	83
104 AVENUE		S	4
104 RD		P	4
104 ST	88 ave|38 ave	P	158
104 STREET		S|P	232
104th Ave	w/of 177th st|n/of 177th st|e/of 204th st|w/of remington s|n/of merrick bl|w/of merrick blv|w/of 171st st|e/of merrick blv|e/of 169th st|w/of 205th st|e/of 178th st|s/of 221st st|w/of 169th st|n/of 168th st|w/of 218th pl|e/of 187th st|e/of 186th st|e/of 183rd pl|w/of 208th st|e/of liberty av|e/of farmers blv|w/of 200th st|e/of 184th st|e/of 180th st|e/of 212th st|w/of 227th st|s/of 184th st|e/of 177th st|w/of 194th st|w/of 180th st|e/of 171st st|w/of 220th pl|w/of 219th st|e/of remington s|e/of 102nd st|w/of 184th st|e/of 196th st|w/of 178th st|e/of springfiel|e/of 164th st|e/of 189th st|w/of farmers bl|e/of 183rd st|e/of van wyck e|w/of 196th st|w/of 221st st|w/of springfiel	T	625
